"id","endonym","exonym","distance","latitude","longitude","wikipedia","image"
"01","양촌","Yangchon","0","","","ko2574941",""
"02","구래","Gurae","1.4","","","ko1563268",""
"03","마산","Masan","3","","","ko158430",""
"04","장기","Janggi","5.6","","","ko1563276",""
"05","운양","Unyang","7.3","","","ko2575014",""
"06","걸포북변","Geolpo Bukbyeon","10.7","","","ko1563286",""
"07","사우","Sau","12.5","","","ko1563287",""
"08","풍무","Pungmu","14.1","","","ko1563288",""
"09","고촌","Gochon","17.7","","","ko1582861",""
"0a","김포공항","Gimpo Int'l Airport","23.6","","","ko15757",""
