"id","endonym","exonym","distance","latitude","longitude","wikipedia","image"
"01","소사","Sosa","0","","","ko20903",""
"02","소새울","Sosaeul","1.7","","","ko1941611",""
"03","시흥대야","Siheung Daeya","3.8","","","ko1941608",""
"04","신천","Sincheon","5.2","","","ko1672188",""
"05","신현","Sinhyeon","8.5","","","ko1941602",""
"06","시흥시청","Siheung City Hall","12.1","","","ko1941561",""
"07","시흥능곡","Siheung Neunggok","13.4","","","ko1941559",""
"08","달미","Dalmi","15.8","","","ko1941557",""
"09","선부","Seonbu","17.4","","","ko1941556",""
"0a","초지","Choji","19.1","","","ko21026",""
"0b","원곡","Wongok","20.5","","","ko187089",""
"0c","원시","Wonsi","22","","","ko1962614",""
