"id","endonym","exonym","distance","longitude","latitude","wikipedia","image"
"01","서울 지하철 1호선","Seoul Subway Line 1",,,,,
"02","서울 지하철 2호선 (본선)","Seoul Subway Line 2 (Main Line)",,,,,
"03","서울 지하철 2호선 (성수지선)","Seoul Subway Line 2 (Seongsu Branch)",,,,,
"04","서울 지하철 2호선 (신정지선)","Seoul Subway Line 2 (Sinjeong Branch)",,,,,
"05","서울 지하철 3호선","Seoul Subway Line 3",,,,,
"06","서울 지하철 4호선","Seoul Subway Line 4",,,,,
"07","서울 지하철 5호선","Seoul Subway Line 5",,,,,
"08","서울 지하철 5호선 (오금지선)","Seoul Subway Line 5 (Macheon Branch)",,,,,
"09","서울 지하철 6호선","Seoul Subway Line 6",,,,,
"0a","서울 지하철 7호선","Seoul Subway Line 7",,,,,
"0b","서울 지하철 8호선","Seoul Subway Line 8",,,,,
"0c","김포골드라인","Gimpo Goldline",,,,,
"0d","서해선","Seohae Line",,,,,
