"id","endonym","exonym","distance","latitude","longitude","wikipedia","image"
"01","발곡","Balgok","0","","","ko730543",""
"02","회룡","Hoeryong","0.833","","","ko21024",""
"03","범골","Beomgol","1.448","","","ko730558",""
"04","경전철의정부","LRT Uijeongbu","2.397","","","ko807945",""
"05","의정부시청","Uijeongbu City Hall","3.317","","","ko730882",""
"06","흥선","Heungseon","3.944","","","ko753694",""
"07","의정부중앙","Uijeongbu Jungang","5.0515","","","ko761240",""
"08","동오","Dong-o","5.7545","","","ko770988",""
"09","새말","Sae-mal","6.4935","","","ko773793",""
"0a","경기도청북부청사","Gyeonggi Provincial Government Northern Office","7.209","","","ko777827",""
"0b","효자","Hyoja","7.839","","","ko812577",""
"0c","곤제","Gonjae","8.611","","","ko790654",""
"0d","어룡","Eoryong","9.515","","","ko730031",""
"0e","송산","Songsan","10.145","","","ko777636",""
"0f","탑석","Tapseok","10.6","","","ko790659",""
