"id","endonym","exonym","distance","latitude","longitude","wikipedia","image"
"01","다대포해수욕장","Dadaepo Beach","0","","","ko1423567",""
"02","다대포항","Dadaepo Harbor","1.6","","","ko1423560",""
"03","낫개","Natgae","2.9","","","ko1423557",""
"04","신장림","Sinjangnim","3.7","","","ko1423556",""
"05","장림","Jangnim","4.8","","","ko1423555",""
"06","동매","Dongmae","6.3","","","ko1423552",""
"07","신평","Sinpyeong","7.9","","","ko64596",""
"08","하단","Hadan","9.5","","","ko700228",""
"09","당리","Dangni","10.3","","","ko64599",""
"0a","사하","Saha","11.2","","","ko64600",""
"0b","괴정","Goejeong","12.1","","","ko94726",""
"0c","대티","Daeti","12.9","","","ko94741",""
"0d","서대신","Seodaesin","14.3","","","ko94725",""
"0e","동대신","Dongdaesin","15","","","ko94994",""
"0f","토성","Toseong","16.2","","","ko94724",""
"0g","자갈치","Jagalchi","17.2","","","ko94723",""
"0h","남포","Nampo","17.9","","","ko461835",""
"0i","중앙","Jungang","18.8","","","ko1463083",""
"0j","부산역","Busan Station","19.9","","","ko74652",""
"0k","초량","Choryang","20.7","","","ko81270",""
"0l","부산진","Busanjin","21.5","","","ko479804",""
"0m","좌천","Jwacheon","22.5","","","ko461825",""
"0n","범일","Beomil","23.4","","","ko461820",""
"0o","범내골","Beomnaegol","24.2","","","ko81267",""
"0p","서면","Seomyeon","25.4","","","ko70869",""
"0q","부전","Bujeon","26","","","ko895204",""
"0r","양정","Yangjeong","27.4","","","ko77023",""
"0s","시청","City Hall","28.2","","","ko71131",""
"0t","연산","Yeonsan","29.1","","","ko461833",""
"0u","교대","Busan Nat'l Univ. of Edu.","30.1","","","ko82554",""
"0v","동래","Dongnae","31.3","","","ko94759",""
"0w","명륜","Myeongnyun","32.1","","","ko95014",""
"0x","온천장","Oncheonjang","33.1","","","ko95013",""
"0y","부산대","Pusan Nat'l Univ.","34.2","","","ko94721",""
"0z","장전","Jangjeon","35.2","","","ko95015",""
"10","구서","Guseo","36.3","","","ko95016",""
"11","두실","Dusil","37.3","","","ko95017",""
"12","남산","Namsan","38.3","","","ko715939",""
"13","범어사","Beomeosa","39.2","","","ko95012",""
"14","노포","Nopo","40.4","","","ko71232",""
