"id","endonym","exonym","distance","longitude","latitude","wikipedia","image"
"01","장산","Jangsan",,,,,
"02","중동","Jung-dong",,,,,
"03","해운대","Haeundae",,,,,
"04","동백","Dongbaek",,,,,
"05","벡스코","BEXCO",,,,,
"06","센텀시티","Centum City",,,,,
"07","민락","Millak",,,,,
"08","수영","Suyeong",,,,,
"09","광안","Gwangan",,,,,
"0a","금련산","Geumnyeonsan",,,,,
"0b","남천","Namcheon",,,,,
"0c","경성대·부경대","Kyunsung Univ.·Pukyong Nat'l Univ.",,,,,
"0d","대연","Daeyeon",,,,,
"0e","못골","Motgol",,,,,
"0f","지게골","Jigegol",,,,,
"0g","문현","Munhyeon",,,,,
"0h","국제금융센터·부산은행","Busan Int'l Finance Center·Busan Bank",,,,,
"0i","전포","Jeonpo",,,,,
"0j","서면","Seomyeon",,,,,
"0k","부암","Buam",,,,,
"0l","가야","Gaya",,,,,
"0m","동의대","Dong-eui Univ.",,,,,
"0n","개금","Gaegeum",,,,,
"0o","냉정","Naengjeong",,,,,
"0p","주례","Jurye",,,,,
"0q","감전","Gamjeon",,,,,
"0r","사상","Sasang",,,,,
"0s","덕포","Deokpo",,,,,
"0t","모덕","Modeok",,,,,
"0u","모라","Mora",,,,,
"0v","구남","Gunam",,,,,
"0w","구명","Gumyeong",,,,,
"0x","덕천","Deokcheon",,,,,
"0y","수정","Sujeong",,,,,
"0z","화명","Hwamyeong",,,,,
"10","율리","Yulli",,,,,
"11","동원","Dongwon",,,,,
"12","금곡","Geumgok",,,,,
"13","호포","Hopo",,,,,
"14","증산","Jeungsan",,,,,
"15","부산대양산캠퍼스","Pusan Nat'l Univ. Yangsan Campus",,,,,
"16","남양산","Namyangsan",,,,,
"17","양산","Yangsan",,,,,
