"id","endonym","exonym","distance","longitude","latitude","wikipedia","image"
"01","사상","Sasang",,,,,
"02","괘법르네시떼","Gwaebeop Renecite",,,,,
"03","서부산유통지구","Seobusan Yutongjigu",,,,,
"04","공항","Gimhae Int'l Airport",,,,,
"05","덕두","Deokdu",,,,,
"06","등구","Deunggu",,,,,
"07","대저","Daejeo",,,,,
"08","평강","Pyeonggang",,,,,
"09","대사","Daesa",,,,,
"0a","불암","Buram",,,,,
"0b","지내","Jinae",,,,,
"0c","김해대학","Gimhae College",,,,,
"0d","인제대","Inje Univ.",,,,,
"0e","김해시청","Gimhae City Hall",,,,,
"0f","부원","Buwon",,,,,
"0g","봉황","Bonghwang",,,,,
"0h","수로왕릉","Royal Tomb of King Suro",,,,,
"0i","박물관","Gimhae Nat'l Museum",,,,,
"0j","연지공원","Yeonji Park",,,,,
"0k","장신대","Presbyterian Univ.",,,,,
"0l","가야대","Gaya Univ.",,,,,
