"id","endonym","exonym","distance","longitude","latitude","wikipedia","image"
"01","설화명곡","Seolhwa·Myeonggok",,,,,
"02","화원","Hwawon",,,,,
"03","대곡","Daegok",,,,,
"04","진천","Jincheon",,,,,
"05","월배","Wolbae",,,,,
"06","상인","Sangin",,,,,
"07","월촌","Wolchon",,,,,
"08","송현","Songhyeon",,,,,
"09","서부정류장","Seobu Bus Terminal",,,,,
"0a","대명","Daemyeong",,,,,
"0b","안지랑","Anjirang",,,,,
"0c","현충로","Hyeonchungno",,,,,
"0d","영대병원","Yeungnam University Hospital",,,,,
"0e","교대","National University of Education",,,,,
"0f","명덕","Myeongdeok",,,,,
"0g","반월당","Banwoldang",,,,,
"0h","중앙로","Jungangno",,,,,
"0i","대구역","Daegu Station",,,,,
"0j","칠성시장","Chilseong Market",,,,,
"0k","신천","Sincheon",,,,,
"0l","동대구역","Dongdaegu Station",,,,,
"0m","동구청","Dong-gu Office",,,,,
"0n","아양교","Ayanggyo",,,,,
"0o","동촌","Dongchon",,,,,
"0p","해안","Haean",,,,,
"0q","방촌","Bangchon",,,,,
"0r","용계","Yonggye",,,,,
"0s","율하","Yulha",,,,,
"0t","신기","Singi",,,,,
"0u","반야월","Banyawol",,,,,
"0v","각산","Gaksan",,,,,
"0w","안심","Ansim",,,,,
