"id","endonym","exonym","distance","latitude","longitude","wikipedia","image"
"01","칠곡경대병원","Chilgok Kyungpook Nat'l Univ. Medical Center",,,,,
"02","학정","Hakjeong",,,,,
"03","팔거","Palgeo",,,,,
"04","동천","Dongcheon",,,,,
"05","칠곡운암","Chilgok·Unam",,,,,
"06","구암","Guam",,,,,
"07","태전","Taejeon",,,,,
"08","매천","Maecheon",,,,,
"09","매천시장","Maecheon Market",,,,,
"0a","팔달","Paldal",,,,,
"0b","공단","Gongdan",,,,,
"0c","만평","Manpyeong",,,,,
"0d","팔달시장","Paldal Market",,,,,
"0e","원대","Wondae",,,,,
"0f","북구청","Buk-gu Office",,,,,
"0g","달성공원","Dalseong Park",,,,,
"0h","서문시장","Seomun Market",,,,,
"0i","청라언덕","Cheongnaeokdeok",,,,,
"0j","남산","Namsan",,,,,
"0k","명덕","Myeongdeok",,,,,
"0l","건들바위","Geondeulbawi",,,,,
"0m","대봉교","Daebonggyo",,,,,
"0n","수성시장","Suseong Market",,,,,
"0o","수성구민운동장","Suseong District Stadium",,,,,
"0p","어린이회관","Children's Hall",,,,,
"0q","황금","Hwanggeum",,,,,
"0r","수성못","Suseongmot",,,,,
"0s","지산","Jisan",,,,,
"0t","범물","Beommul",,,,,
"0u","용지","Yongji",,,,,
