"id","endonym","exonym","distance","latitude","longitude","wikipedia","image"
"01","녹동","Nokdong",,,,,
"02","소태","Sotae",,,,,
"03","학동·증심사입구","Hakdong·Jeungsimsa",,,,,
"04","남광주","Namgwangju",,,,,
"05","문화전당","Asian Culture Center",,,,,
"06","금남로4가","Geumnamro 4(sa)-ga",,,,,
"07","금남로5가","Geumnamro 5(o)-ga",,,,,
"08","양동시장","Yangdong Market",,,,,
"09","돌고개","Dolgogae",,,,,
"0a","농성","Nongseong",,,,,
"0b","화정","Hwajeong",,,,,
"0c","쌍촌","Ssangchon",,,,,
"0d","운천","Uncheon",,,,,
"0e","상무","Sangmu",,,,,
"0f","김대중컨벤션센터","Kim Daejung Convention Center",,,,,
"0g","공항","Gwangju Airport",,,,,
"0h","송정공원","Songjeong Park",,,,,
"0i","광주송정역","Gwangju Songjeong Station",,,,,
"0j","도산","Dosan",,,,,
"0k","평동","Pyeongdong",,,,,
