"id","endonym","exonym","distance","latitude","longitude","wikipedia","image"
"01","신흥","Sinheung",,,,,
"02","대동","Daedong",,,,,
"03","대전역","Daejeon Station",,,,,
"04","중앙로","Jungangno",,,,,
"05","중구청","Jung-gu Office",,,,,
"06","서대전네거리","Seodaejeonnegeori",,,,,
"07","오룡","Oryong",,,,,
"08","용문","Yongmun",,,,,
"09","탄방","Tanbang",,,,,
"0a","시청","City hall",,,,,
"0b","정부청사","Government Complex Daejeon",,,,,
"0c","갈마","Galma",,,,,
"0d","월평","Wolpyeong",,,,,
"0e","갑천","Gapcheon",,,,,
"0f","유성온천","Yuseong Spa",,,,,
"0g","구암","Guam",,,,,
"0h","현충원","National Cemetery",,,,,
"0i","월드컵경기장","Wold Cup Stadium",,,,,
"0j","노은","Noeun",,,,,
"0k","지족","Jijok",,,,,
"0l","반석","Banseok",,,,,
