"id","endonym","exonym","distance","longitude","latitude","wikipedia","image"
"03","공항철도주식회사","Airport Railroad Co., Ltd.",,,,,
"04","서울교통공사","Seoul Metro",,,,,
"05","서울시메트로9호선","Seoul Metro Line Nine Corporation",,,,,
"06","우이신설경전철 주식회사","UiTrans LRT Co., Ltd.",,,,,
"07","인천교통공사","Incheon Transit Corporation",,,,,
"08","신분당선 주식회사","Shinbundang Railroad Corporation",,,,,
"09","경기철도","Gyeonggi Railroad Co., Ltd.",,,,,
"0a","용인경량전철","Yongin Everline Co,. Ltd.",,,,,
"0b","의정부경량전철","Uijeongbu Light Rail Transit Co., Ltd",,,,,
"0c","인천국제공항공사","Incheon International Airport Corporation",,,,,
"0d","부산교통공사","Busan Transportation Corporation",,,,,
"0e","부산-김해경전철","Busan-Gimhae Light Rail Transit Operation Corporation",,,,,
"0f","대구도시철도공사","Daegu Metropolitan Transit Corporation",,,,,
"0g","광주광역시 도시철도공사","Gwangju Metropolitan Rapid Transit Corporation",,,,,
"0h","대전광역시 도시철도공사","Daejeon Metropolitan Rapid Transit Corporation",,,,,
