"id","endonym","exonym","distance","latitude","longitude","wikipedia","image"
"01","海洋","Ocean","0","","","zh4488714",""
"02","馬會","Jockey Club","0","","","zh4487194",""
"03","運動場","Stadium","0","","","zh4488304",""
"04","排角","Pai Kok","0","","","zh4488361",""
"05","路氹西","Cotai West","0","","","zh4740190",""
"06","蓮花口岸","Lotus Checkpoint","0","","","zh3791790",""
"07","東亞運","East Asian Games","0","","","zh4740233",""
"08","路氹東","Cotai East","0","","","zh4740267",""
"09","科大","MUST","0","","","zh4740307",""
"0a","機場","Airport","0","","","zh5879931",""
"0b","氹仔碼頭","Taipa Ferry Terminal","0","","","zh3478730",""
