"id","endonym","exonym","distance","latitude","longitude","wikipedia","image"
"01","Baclaran","Baclaran",,,,,
"02","EDSA","EDSA",,,,,
"03","Libertad","Libertad",,,,,
"04","Gil Puyat","Gil Puyat",,,,,
"05","Vito Cruz","Vito Cruz",,,,,
"06","Quirino","Quirino",,,,,
"07","Pedro Gil","Pedro Gil",,,,,
"08","United Nations","United Nations",,,,,
"09","Sentral","Central Terminal",,,,,
"0a","Carriedo","Carriedo",,,,,
"0b","Doroteo Jose","Doroteo Jose",,,,,
"0c","Bambang","Bambang",,,,,
"0d","Tayuman","Tayuman",,,,,
"0e","Blumentritt","Blumentritt",,,,,
"0f","Abad Santos","Abad Santos",,,,,
"0g","R. Papa","R. Papa",,,,,
"0h","5th Avenue","5th Avenue",,,,,
"0i","Monumento","Monumento",,,,,
"0j","Balintawak","Balintawak",,,,,
"0k","Roosevelt","Roosevelt",,,,,
