"id","endonym","exonym","distance","latitude","longitude","wikipedia","image"
"01","Jurong East","Jurong East","","","","en1159080",""
"02","Bukit Batok","Bukit Batok","","","","en2030025",""
"03","Bukit Gombak","Bukit Gombak","","","","en2292628",""
"04","Choa Chu Kang","Choa Chu Kang","","","","en30873998",""
"05","Yew Tee","Yew Tee","","","","en2292636",""
"06","Kranji","Kranji","","","","en2292641",""
"07","Marsiling","Marsiling","","","","en2292648",""
"08","Woodlands","Woodlands","","","","en2292653",""
"09","Admiralty","Admiralty","","","","en2292656",""
"0a","Sembawang","Sembawang","","","","en2148348",""
"0b","Canberra","Canberra","","","","en43170524",""
"0c","Yishun","Yishun","","","","en2184716",""
"0d","Khatib","Khatib","","","","en2292661",""
"0e","Yio Chu Kang","Yio Chu Kang","","","","en2292685",""
"0f","Ang Mo Kio","Ang Mo Kio","","","","en1190489",""
"0g","Bishan","Bishan","","","","en1159096",""
"0h","Braddell","Braddell","","","","en2232485",""
"0i","Toa Payoh","Toa Payoh","","","","en2136352",""
"0j","Novena","Novena","","","","en2232430",""
"0k","Newton","Newton","","","","en2050805",""
"0l","Orchard","Orchard","","","","en2049033",""
"0m","Somerset","Somerset","","","","en2049083",""
"0n","Dhoby Ghaut","Dhoby Ghaut","","","","en1159091",""
"0o","City Hall","City Hall","","","","en1159072",""
"0p","Raffles Place","Raffles Place","","","","en1159079",""
"0q","Marina Bay","Marina Bay","","","","en1159106",""
"0r","Marina South Pier","Marina South Pier","","","","en27290834",""
