"id","endonym","exonym","distance","longitude","latitude","wikipedia","image"
"01","Pasir Ris","Pasir Ris",,,,,
"02","Tampines","Tampines",,,,,
"03","Simei","Simei",,,,,
"04","Tanah Merah","Tanah Merah",,,,,
"05","Bedok","Bedok",,,,,
"06","Kembangan","Kembangan",,,,,
"07","Eunos","Eunos",,,,,
"08","Paya Lebar","Paya Lebar",,,,,
"09","Aljunied","Aljunied",,,,,
"0a","Kallang","Kallang",,,,,
"0b","Lavender","Lavender",,,,,
"0c","Bugis","Bugis",,,,,
"0d","City Hall","City Hall",,,,,
"0e","Raffles Place","Raffles Place",,,,,
"0f","Tanjong Pagar","Tanjong Pagar",,,,,
"0g","Outram Park","Outram Park",,,,,
"0h","Tiong Bahru","Tiong Bahru",,,,,
"0i","Redhill","Redhill",,,,,
"0j","Queenstown","Queenstown",,,,,
"0k","Commonwealth","Commonwealth",,,,,
"0l","Buona Vista","Buona Vista",,,,,
"0m","Dover","Dover",,,,,
"0n","Clementi","Clementi",,,,,
"0o","Jurong East","Jurong East",,,,,
"0p","Chinese Garden","Chinese Garden",,,,,
"0q","Lakeside","Lakeside",,,,,
"0r","Boon Lay","Boon Lay",,,,,
"0s","Pioneer","Pioneer",,,,,
"0t","Joo Koon","Joo Koon",,,,,
"0u","Gul Circle","Gul Circle",,,,,
"0v","Tuas Crescent","Tuas Crescent",,,,,
"0w","Tuas West Road","Tuas West Road",,,,,
"0x","Tuas Link","Tuas Link",,,,,
