"id","endonym","exonym","distance","longitude","latitude","wikipedia","image"
"01","ชุมทางถนนจิระ","Thanon Chira Junction",,,,,
"02","บ้านพะเนา","Ban Phanao",,,,,
"03","บ้านพระพุทธ","Ban Phra Phut",,,,,
"04","ท่าช้าง","Tha Chang",,,,,
"05","หนองมโนรมย์","Nong Manorom",,,,,
"06","จักราช","Chakkarat",,,,,
"07","บ้านหินโคน","Ban Hin Khon",,,,,
"08","หินดาษ","Hin Dat",,,,,
"09","ห้วยแถลง","Huai Thalaeng",,,,,
"0a","หนองกระทิง","Nong Kathing",,,,,
"0b","ลำปลายมาศ","Lam Plai Mat",,,,,
"0c","ทะเมนชัย","Thamen Chai",,,,,
"0d","บ้านแสลงพัน","Ban Salaeng Phan",,,,,
"0e","บ้านหนองตาด","Ban Nong Tat",,,,,
"0f","บุรีรัมย์","Buriram",,,,,
"0g","บ้านตะโก","Ban Tako",,,,,
"0h","ห้วยราช","Huai Rat",,,,,
"0i","กระสัง","Krasang",,,,,
"0j","หนองเต็ง","Nong Teng",,,,,
"0k","ลำชี","Lam Chi",,,,,
"0l","สุรินทร์","Surin",,,,,
"0m","บุฤๅษี","Bu Rusi",,,,,
"0n","เมืองที","Mueang Thi",,,,,
"0o","กะโดนค้อ","Kadon Kho",,,,,
"0p","ศีขรภูมิ","Sikhoraphum",,,,,
"0q","บ้านกะลัน","Ban Kalan",,,,,
"0r","สำโรงทาบ","Samrong Thap",,,,,
"0s","ห้วยทับทัน","Huai Thap Than",,,,,
"0t","หนองแคน","Nong Khaen",,,,,
"0u","อุทุมพรพิสัย","Uthumphon Phisai",,,,,
"0v","บ้านแต้","Ban Tae",,,,,
"0w","บ้านเนียม","Ban Niam",,,,,
"0x","ศรีสะเกษ","Si Sa Ket",,,,,
"0y","หนองแวง","Nong Waeng",,,,,
"0z","บ้านคล้อ","Ban Khlo",,,,,
"10","กันทรารมย์","Kanthararom",,,,,
"11","บ้านโนนผึ้ง","Ban Non Phung",,,,,
"12","ห้วยขยุง","Huai Khayung",,,,,
"13","บ้านถ่อน","Ban Thon",,,,,
"14","บุ่งหวาย","Bung Wai",,,,,
"15","อุบลราชธานี","Ubon Ratchathani",,,,,
