"id","endonym","exonym","distance","latitude","longitude","wikipedia","image"
"01","ชุมทางแก่งคอย","Kaeng Khoi Junction","0.00","","","th136996",""
"02","บ้านช่องใต้","Ban Chong Tai","3.70","","","th59413",""
"03","เขาคอก","Khao Khok","9.27","","","th86303",""
"04","เขาหินดาด","Khao Hin Dat","16.75","","","th130030",""
"05","หินซ้อน","Hin Son","22.80","","","th151871",""
"06","เขาสูง","Khao Sung","27.20","","","th8191",""
"07","แก่งเสือเต้น","Kaeng Sue Ten","34.55","","","th151871",""
"08","เขื่อนป่าสักชลสิทธิ์","Pa Sak Jolasid Dam","37.28","","","th209412",""
"09","บ้านหนองบัว","Ban Nong Bua","37.28","","","th372630",""
"0a","โคกสลุง","Khok Salung","51.45","","","th5358",""
"0b","สุรนารายณ์","Suranarai","60.70","","","th742762",""
"0c","โรงเรียนอัสสัมชัญคอนแวนต์","Assumption Convent School","60.70","","","th23996",""
"0d","เขายายกะตา","Khao Yai Ka Ta","73.85","","","th669151",""
"0e","ตลาดลำนารายณ์","Talat Lam Narai","82.28","","","th151871",""
"0f","ลำนารายณ์","Lam Narai","83.70","","","th151871",""
"0g","บ้านเกาะรัง","Ban Ko Rang","95.25","","","th5031",""
"0h","แผ่นดินทอง","Phaendin Thong","101.35","","","th151871",""
"0i","บ้านจงโก","Ban Chongko","111.55","","","th531895",""
"0j","โคกคลี","Khok Khli","115.77","","","th275079",""
"0k","ช่องสำราญ","Chong Samran","125.54","","","th275079",""
"0l","บ้านวะตะแบก (เทพสถิต)","Ban Wa Tabaek (Thep Sa Thit)","138.04","","","",""
"0m","ห้วยยายจิ่ว","Huai Yai Chiu","148.03","","","th742762",""
"0n","บ้านปากจาบ","Ban Pak Chap","154.87","","","th127030",""
"0o","บำเหน็จณรงค์","Bamnet Narong","165.43","","","th151871",""
"0p","บ้านกลอย","Ban Kloy","168.15","","","th151871",""
"0q","วังกะอาม","Wang Ka-am","172.20","","","th151871",""
"0r","โนนคร้อ","Non Khro","177.00","","","th151871",""
"0s","จัตุรัส","Chatturat","185.09","","","th260597",""
"0t","หนองฉิม","Nong Chim","197.75","","","th151871",""
"0u","บ้านตาเนิน","Ban Ta Noen","205.05","","","th312839",""
"0v","บ้านหนองขาม","Ban Nong Kham","208.95","","","th6993",""
"0w","บ้านเหลี่อม","Ban Luam","216.08","","","th10882",""
"0x","บ้านโคกกระเบื้อง","Ban Khok Krabuang","221.06","","","th241730",""
"0y","บ้านหนองปรือโป่ง","Ban Nong Pru Pong","226.73","","","th36595",""
"0z","หนองพลวง","Nong Phluang","230.09","","","th241730",""
"10","บ้านกระพี้","Ban Kraphi","233.10","","","th210320",""
"11","บ้านเก่างิ้ว","Ban Kao Ngiu","235.07","","","th7043",""
"12","บ้านสระครก","Ban Sa Khrok","237.04","","","th306664",""
"13","บ้านโสกรัง","Ban Sok Rang","241.40","","","th435465",""
"14","ชุมทางบัวใหญ่","Bua Yai Junction","250.80","","","th555679",""
