"id","endonym","exonym","distance","latitude","longitude","wikipedia","image"
"01","ชุมทางหนองปลาดุก","Nong Pla Duk Junction","0","","","th61284",""
"02","ถนนทรงพล","Thanon Songpol","3.71","","","th275889",""
"03","สระโกสินารายณ์","Sa Kosi Narai","9.46","","","th312090",""
"04","ลุกแก","Luk Kae","13.24","","","th345546",""
"05","ท่าเรือน้อย","Tha Ruea Noi","25.58","","","th277156",""
"06","บ้านหนองเสือ","Ban Nong Sua","32.49","","","th281956",""
"07","ทุ่งทอง","Thung Thong","38.52","","","th210319",""
"08","ปากแพรก","Pak Phraek","50.17","","","th388382",""
"09","กาญจนบุรี","Kanchanaburi","52.85","","","th277156",""
"0a","สะพานแควใหญ่","Saphan Khwae Yai","56.07","","","th69968",""
"0b","เขาปูน","Khao Pun","57.36","","","th275393",""
"0c","วังลาน","Wang Lan","68.51","","","th5487",""
"0d","นากาญจน์","Na Kann","72.27","","","th151808",""
"0e","วังเย็น","Wang Yen","75.96","","","th277156",""
"0f","วังตะเคียน","Wang Takhian","80.61","","","th241730",""
"0g","บ้านโป่งเสี้ยว","Ban Pong Sieo","83.98","","","th23004",""
"0h","บ้านเก่า","Ban Kao","87.76","","","th197863",""
"0i","ท่าตาเสือ","Tha Ta Sua","92.61","","","th29285",""
"0j","ท่ากิเลน","Tha Kilen","97.76","","","th1090951",""
"0k","วังสิงห์","Wang Sing","102.84","","","th5114",""
"0l","ลุ่มสุ่ม","Lumsum","108.16","","","th69986",""
"0m","สะพานถ้ำกระแซ","Saphan Tham Krasae","109.68","","","th69986",""
"0n","วังโพ","Wang Pho","113.91","","","th1090951",""
"0o","เกาะมหามงคล","Ko Maha Mongkol","119.47","","","th941603",""
"0p","ช่องแคบ","Chong Khaep","121.16","","","th1089732",""
"0q","วังใหญ่","Wang Yai","124.71","","","th1089715",""
"0r","บ้านพุพง","Ban Pu Pong","127.06","","","th1089251",""
"0s","น้ำตก","Nam Tok","130.05","","","th275404",""
"0t","น้ำตกไทรโยคน้อย","Nam Tok Sai Yok Noi","131.44","","","th285630",""
