"id","endonym","exonym","distance","latitude","longitude","wikipedia","image"
"01","วงเวียนใหญ่","Wongwian Yai",,,,,
"02","ตลาดพลู","Talat Phlu",,,,,
"03","คลองต้นไทร","Khlong Ton Sai",,,,,
"04","จอมทอง","Chom Tong",,,,,
"05","วัดไทร","Wat Sai",,,,,
"06","วัดสิงห์","Wat Sing",,,,,
"07","บางบอน","Bang Bon",,,,,
"08","การเคหะธนบุรี","Khan Keha",,,,,
"09","รางสะแก","Rang Sakae",,,,,
"0a","รางโพธิ์","Rang Pho",,,,,
"0b","สามแยก","Sam Yaek",,,,,
"0c","พรมแดน","Phrom Daen",,,,,
"0d","ทุ่งสีทอง","Thung Si Thong",,,,,
"0e","บางน้ำจืด","Bang Nam Jued",,,,,
"0f","คอกควาย","Khok Khwai",,,,,
"0g","บ้านขอม","Ban Khom",,,,,
"0h","คลองจาก","Khlong Chak",,,,,
"0i","มหาชัย","Maha Chai",,,,,
