"id","endonym","exonym","distance","latitude","longitude","wikipedia","image"
"01","บ้านแหลม","Ban Laem","0.00","","","th240959",""
"02","ท่าฉลอม","Tha Chalom","1.24","","","th221375",""
"03","บ้านชีผ้าขาว","Ban Chi Phakhao","3.89","","","th6933",""
"04","คลองนกเล็ก","Khlong Nok Lek","5.95","","","th961850",""
"05","บางสีคต","Bang Si Kot","6.90","","","th240959",""
"06","บางกระเจ้า","Bang Krachao","8.86","","","th35434",""
"07","บ้านบ่อ","Ban Bo","10.90","","","th128611",""
"08","บางโทรัด","Bang Thorat","13.32","","","th108879",""
"09","บ้านกาหลง","Ban Kalong","15.78","","","th240959",""
"0a","บ้านนาขวาง","Ban Na Khwang","17.94","","","th1",""
"0b","บ้านนาโคก","Ban Na Khok","19.97","","","th1",""
"0c","เขตเมือง","Ket Muang","23.73","","","th1919",""
"0d","ลาดใหญ่","Lad Yai","27.66","","","th4047",""
"0e","บางกระบูน","Bang Krabun","30.16","","","th289710",""
"0f","แม่กลอง","Maeklong","33.75","","","th240694",""
