"id","endonym","exonym","distance","latitude","longitude","wikipedia","image"
"01","ทางรถไฟสายเหนือ (กรุงเทพ - เชียงใหม่)","Northern Line (Bangkok - Chiang Mai)",,,,,"UklGRlwAAABXRUJQVlA4IFAAAADQBQCdASpkAGQAPpFIoUylpCMiIKgAsBIJaW7hc+lwAAE97iLywDXU3uIvLANdTe4i8sA11N6IAP7+UqP/6kYYux//43m81q+3+JhMAAAAAA=="
"02","ทางรถไฟสายเหนือ (ชุมทางบ้านดารา - สวรรคโลก)","Northern Line (Ban Dara Junction - Sawankhalok)",,,,,"UklGRlwAAABXRUJQVlA4IFAAAADQBQCdASpkAGQAPpFIoUylpCMiIKgAsBIJaW7hc+lwAAE97iLywDXU3uIvLANdTe4i8sA11N6IAP7+UqP/6kYYux//43m81q+3+JhMAAAAAA=="
"03","ทางรถไฟสายตะวันออกเฉียงเหนือ (ชุมทางบ้านภาชี - หนองคาย)","Northeastern Line (Ban Phachi Junction - Nong Khai)",,,,,"UklGRlYAAABXRUJQVlA4IEoAAACwBQCdASpkAGQAPpFIoUylpCMiIKgAsBIJaW7hc+AAY2upvcReWAa6m9xF5YBrqb3EXlgGngAA/v6Vir1f/1rz9yLleBsGKAAAAA=="
"04","ทางรถไฟสายตะวันออกเฉียงเหนือ (ชุมทางถนนจิระ - อุบลราชธานี)","Northeastern Line (Thanon Chira Junction - Ubon Ratchathani)",,,,,"UklGRlYAAABXRUJQVlA4IEoAAACwBQCdASpkAGQAPpFIoUylpCMiIKgAsBIJaW7hc+AAY2upvcReWAa6m9xF5YBrqb3EXlgGngAA/v6Vir1f/1rz9yLleBsGKAAAAA=="
"05","ทางรถไฟสายตะวันออกเฉียงเหนือ (ชุมทางแก่งคอย - ชุมทางบัวใหญ่)","Northeastern Line (Kaeng Khoi Junction - Bua Yai Junction)",,,,,"UklGRlYAAABXRUJQVlA4IEoAAACwBQCdASpkAGQAPpFIoUylpCMiIKgAsBIJaW7hc+AAY2upvcReWAa6m9xF5YBrqb3EXlgGngAA/v6Vir1f/1rz9yLleBsGKAAAAA=="
"06","ทางรถไฟสายตะวันออก (กรุงเทพ - ด่านพรมแดนบ้านคลองลึก)","Eastern Line (Bangkok - Ban Khlong Luek Border Checkpoint)",,,,,"UklGRlgAAABXRUJQVlA4IEwAAADQBQCdASpkAGQAPpFIoUylpCMiIKgAsBIJaW7hc+lwAAE97iLywDXU3uIvLANdTe4i8sA11N6IAP7+Az7/18AU9Uf/UREFJGAAAAAA"
"07","ทางรถไฟสายตะวันออก (ชุมทางฉะเชิงเทรา - บ้านพลูตาหลวง)","Eastern Line (Chachoengsao junction - Ban Phlu Ta Luang)",,,,,"UklGRlgAAABXRUJQVlA4IEwAAADQBQCdASpkAGQAPpFIoUylpCMiIKgAsBIJaW7hc+lwAAE97iLywDXU3uIvLANdTe4i8sA11N6IAP7+Az7/18AU9Uf/UREFJGAAAAAA"
"08","ทางรถไฟสายใต้ (ธนบุรี - สุไหงโกลก)","Southern Line (Thon Buri-Sungai Kolok)",,,,,"UklGRlgAAABXRUJQVlA4IEwAAADQBQCdASpkAGQAPpFIoUylpCMiIKgAsBIJaW7hc+lwAAE97iLywDXU3uIvLANdTe4i8sA11N6IAP7+Az7/18AU9Uf/UREFJGAAAAAA"
"09","ทางรถไฟสายใต้ (กรุงเทพ - ชุมทางตลิ่งชัน)","Southern Line (Bangkok-Taling Chan Junction)",,,,,"UklGRlgAAABXRUJQVlA4IEwAAADQBQCdASpkAGQAPpFIoUylpCMiIKgAsBIJaW7hc+lwAAE97iLywDXU3uIvLANdTe4i8sA11N6IAP7+Az7/18AU9Uf/UREFJGAAAAAA"
"0a","ทางรถไฟสายใต้ (ชุมทางหาดใหญ่ - ปาดังเบซาร์)","Southern Line (Nong Pladuk Junction-Suphanburi)",,,,,"UklGRlgAAABXRUJQVlA4IEwAAADQBQCdASpkAGQAPpFIoUylpCMiIKgAsBIJaW7hc+lwAAE97iLywDXU3uIvLANdTe4i8sA11N6IAP7+Az7/18AU9Uf/UREFJGAAAAAA"
"0b","ทางรถไฟสายใต้ (ชุมทางหนองปลาดุก - น้ำตก)","Southern Line (Nong Pladuk Junction - Nam Tok)",,,,,"UklGRlgAAABXRUJQVlA4IEwAAADQBQCdASpkAGQAPpFIoUylpCMiIKgAsBIJaW7hc+lwAAE97iLywDXU3uIvLANdTe4i8sA11N6IAP7+Az7/18AU9Uf/UREFJGAAAAAA"
"0c","ทางรถไฟสายใต้ (ชุมทางบ้านทุ่งโพธิ์ - คีรีรัฐนิคม)","Southern Line (Ban Thung Pho Junction-Khiri Rat Nikhom)",,,,,"UklGRlgAAABXRUJQVlA4IEwAAADQBQCdASpkAGQAPpFIoUylpCMiIKgAsBIJaW7hc+lwAAE97iLywDXU3uIvLANdTe4i8sA11N6IAP7+Az7/18AU9Uf/UREFJGAAAAAA"
"0d","ทางรถไฟสายใต้ (ชุมทางทุ่งสง - กันตัง)","Southern Line (Thung Song Junction - Kantang)",,,,,"UklGRlgAAABXRUJQVlA4IEwAAADQBQCdASpkAGQAPpFIoUylpCMiIKgAsBIJaW7hc+lwAAE97iLywDXU3uIvLANdTe4i8sA11N6IAP7+Az7/18AU9Uf/UREFJGAAAAAA"
"0e","ทางรถไฟสายใต้ (ชุมทางเขาชุมทอง - นครศรีธรรมราช)","Southern Line (Khao Chum Thong Junction-Nakhon Si Thammarat)",,,,,"UklGRlgAAABXRUJQVlA4IEwAAADQBQCdASpkAGQAPpFIoUylpCMiIKgAsBIJaW7hc+lwAAE97iLywDXU3uIvLANdTe4i8sA11N6IAP7+Az7/18AU9Uf/UREFJGAAAAAA"
"0f","ทางรถไฟสายใต้ (ชุมทางหนองปลาดุก - สุพรรณบุรี)","Southern Line (Hat Yai Junction-Padang Besar)",,,,,"UklGRlgAAABXRUJQVlA4IEwAAADQBQCdASpkAGQAPpFIoUylpCMiIKgAsBIJaW7hc+lwAAE97iLywDXU3uIvLANdTe4i8sA11N6IAP7+Az7/18AU9Uf/UREFJGAAAAAA"
"0g","ทางรถไฟสายแม่กลอง (วงเวียนใหญ่ - มหาชัย)","Maeklong Railway (Wongwian Yai - Maha Chai)",,,,,
"0h","ทางรถไฟสายแม่กลอง (บ้านแหลม - แม่กลอง)","Maeklong Railway (Ban Laem - Maeklong)",,,,,
"0i","รถไฟฟ้าเชื่อมท่าอากาศยานสุวรรณภูมิ","Airport Rail Link",,,,,"UklGRnAJAABXRUJQVlA4WAoAAAAQAAAATQAAYwAAQUxQSPoEAAABoIVt2xlJeqtrbKuxY6Nnaua6bNu2bdvG2rZtb3Ns29ai3V15D/4v+f9JanUWERMwKPVISYTQu+TJ8BCyn+TZiNBR+RrJkyVDBqreJHmkWMhAlRskDxYJGah1h+T+wiED0fdIJuYH4C9VvmagZdu2DQOBQKB2KY8g8IDkgZdibwTp3Frv8wbq3qfhN7J7Az0M3Pj2sUk9mxf0SH2do4vr+eDlGc6+bueDxz9xcrYDPO+77eDJXPB+VTr8wB8C+jrh62HeWyqlvhok+aLPc29L4zAqSPJFn9f2Cm8AmGyR3O61B8rJvAAwkyQ3eKsg1Y4QZ5HkSk/VVb6G7VKSfKJrv+Hjp5XyRi+SWVXtsJr2h/N5YhbJT+H0MTt+6PPCoyTbOqpsk3n662gvvE+e8DmaKG3LDm/Gksvh+DcpI9IjZ8n6jsKD5P73SauyR5J5w+doNsmW2R49PwvezEW+Dsc/kd/AtuXIikKDkdFCkSH98ym5+wwvaQp9P5/grEMwWNvmHTK9H4D1pDUbQNQ18lwJIP8R8n60KSCPMyx7HXITkrwKhFsk0/MAT5PkRmAWSX5uTjesiE0/JSM7AlQjgU+Vt4HNyh63OAxPIvk5kOsyySMAJiiDgTbKCteh/dG/PiwOoN7ulJ8rAwhbf/v6IgAYd/HeYznc9y+37Jwv9p172Ac///ac852fzCprqMjzmXTnnvPUzHqpmIkqZ+ja1J0a5PnqeiUu0sXpu3V4qYTW53T1lb90+L5OI7r8Zy2rlsYzbjupxdUap93GC1rxznyprtuldclZbro+RivJROZjDQpAHilcnVm2sG7VmTeFgYXl8NbvBZVkA5ld4HCEciIcJstcUHrB4ShLL5fyHLTawGwXLXxqqLnWdRj239fqbChCK8YU9mlVMlRc63tjiVpRISbyH01EqMvprfB/NGVCXQ6ljFaCsd1aZQ01czSc5HVTYXe02hl6XottDXWk1luGsro7GaqcijRS+rzWIEsvu8Ksx6Nz24xQeGNWcY0chR+ZfJ1qX7saT1s05eoE6mrkcF/iw8n+P0G2f0QfNYxs9pWxYOzRy3v3OLo5o3qV8XeM+KVZUDcbshJJ0opxcCkCAMKvm9sDMcdpMzsoJt+1GwhxgLlVEh41Eycxwa6AlDPLgC+oLLbZYCbBJk7YQ+aWfKnKPWe4q3xpE2MmRrLOCqfI1lJ9qsc0flGCLYSONJtyToihei+TTMiu+BOE1zRmKvxzdE7kGPOXId7cHWTqb2lCLEn+WAUo+xnFnhoF7ypk8rkkPsR755Ippp9RyItnLYon/BoYJLn1V+pmNYH2QstFcZk6weEw2O+uW5J/tah5tQ2MFl1+yg23Y25Sc9+M3DD+pN1bDQNq09/27dt37PTJ4/vtprRt27Ztw0CP2za7s8F8b8vmCz9U3zuUg0MO25zNB7FJusT15qr+QXlPXojzaTsDZe9IfE/CFJtgB1OFz1A+VwJi2yyb7QDaZEqcIOEFibfLmAn7mvLdKhDL3qH8pR8AZtqkRkvZYyX+5jeykXJqU4j5DlPenRfiSxJP5xdQ6qrElSZ6W1KwL0TfB5TPFIeca6fEdyU0TJOCbfVqJ1GeCXkx5TuVYV/qqsSREkZIvFlap8hZys9AbpclpTSG04ZpUlJ1CU9L/MXvzPct5bfDpMhz98U7PeF8WIqSej8+TMr+lSVwLlZQOCBQBAAA8BYAnQEqTgBkAD6RNphIJaKioS6zDriwEglsANBRQX5z+N3XZRe9R9jXud03+h/fP+l8GQZv1Z9v/0v9u/JX52/0T1Hfcr7gH6Z/6r0gP2A9zvmA/nH+E/5P9094z/Vfrd7m/QA/rn+F9XP/R+wB+5HsAfsz6YP7X/BX/Xv+F+5vtJf/r2AP//6gEVUjpJT6VgFOaZc2S3WCOypnPjp4HoTy7WYXIcnlqqmVqn4Vle4v2nYMdMZEP496xkGiBtgAAP7u1upIQLaFlyXbyazRP4VNUDWc71/s1svBGeBp7tqyhHPdlu6eggwbqWjbwLmv9MzBhuut3q/Zz2WExwUPlaeQYTnY6oSQZ/QRq5/aMAAnaXCl/2fQaxuNR1pgmhpEB+l1nDIoU1js9RMMcDVvzkleDQepVjADCAAcGXrzdUL7VJgO8DwM0fDj5/LfiE5bFgqlB+ZSpfz2nBTDVDI0JH1Ex+iZyqOWyyS9jk1xylT435QlR4SicBNi4+fRwh4yDlhysTT8hiAgv8BZwD//9aDEOh4WE1u8Qn/aQECrSVCHQjs9/tNP5DziJndOqIe7FiHIlluJIeZst+LGNmJeaVb4EoPyCa5RmAng9wViYdxaoMwFi/UXZ0Yz5ipfuqUVKkFpAMK+TU0BHu+u1UgqD0vxqh1TTEC919y+HpHDgMZ4Erd7WfOPiTd3chWE5BAt1r0zoXW5vBNY0R34G/tSEnOTuzdMGSEsS/RBhqyFiQtDO3oI9P4gux8TUrsiUaSOZYoZni72ENydRmD1MbabJhuBHlmQfiGy9A0fzg37C24IsDf0hr6+IDtWvw7ByNLjML2mQ6HsaecOhzbiKMsOiISv78WC4PhOjS260DDbilxo1qH/fzdHZ037RfhApWXff1QLCZwO+isj8UHJ2d7KFv1hs5Bju7zH7fb8MDrJwG0p3VXh49q8/eG5fZ/U18bkgS4q+RUf8k4x/hRi0MVaOGN+hhRJr6CAN1BnYx4CYD2WI2RKCZH75f/AfX4+8yVbJrebKl6JQZgwdkZLEPoCs4rBmtQi0sNM69F6EwX5YPr+l2nHRRqaTlc99sn+uoFTUp8tg0wFxRmzCBbwFF842vBXqvD+XnNycx9bLWa7Ews4lgb5LFwyTnkqti7gLVYhAaMf7Cc8R4Xs8dgLsiHIDLto8RHjlDVk4dPKohfnXddv0bvjuQuq3SoJz7qD9i/QtOcOT4vfbfVoF6dreZcywjUPb7TzRwe+2xCXibGTwNdQKu4Kibc+GQnZbGQb8iZbmRb3Lf60wXOlZjnE3PwcRtr4OkwhuXB+5VPg35G55XMgg2aVqLb1XO5SDvcNXyXis+inypfjmdYs9VlSjySgtuScCW8PcGiA4czcMnXXEdI1NW3Q4jtambtSvLkSTstSck95sAmeS9NGc7zls78k0fmL5+aMcfbG8NEc8eEfsjPMrzlbkEiERNbwFPuaAAAA"
