"id","endonym","exonym","distance","longitude","latitude","wikipedia","image"
"01","竹南","Zhunan",,,,,
"02","談文","Tanwen",,,,,
"03","大山","Dashan",,,,,
"04","後龍","Houlong",,,,,
"05","龍港","Longgang",,,,,
"06","白沙屯","Baishatun",,,,,
"07","新埔","Xinpu",,,,,
"08","通霄","Tongxiao",,,,,
"09","苑裡","Yuanli",,,,,
"0a","日南","Rinan",,,,,
"0b","大甲","Dajia",,,,,
"0c","臺中港","Taichung Port",,,,,
"0d","清水","Qingshui",,,,,
"0e","沙鹿","Shalu",,,,,
"0f","龍井","Longjing",,,,,
"0g","大肚","Dadu",,,,,
"0h","追分","Zhuifen",,,,,
"0i","彰化","Changhua",,,,,
