"id","endonym","exonym","distance","latitude","longitude","wikipedia","image"
"01","高雄","Kaohsiung","0.0","","","zh154588",""
"02","民族","Minzu","1.4","","","zh2929473",""
"03","科工館","National Science And Technology Museum","2.4","","","zh3142605",""
"04","正義","Zhengyi","4.2","","","zh3133352",""
"05","鳳山","Fengshan","1.6","","","zh175877",""
"06","後庄","Houzhuang","9.5","","","zh175865",""
"07","九曲堂","Jiuqutang","13.8","","","zh175862",""
"08","六塊厝","Liukuaicuo","18.8","","","zh175863",""
"09","屏東","Pingtung","21.0","","","zh175866",""
"0a","歸來","Guilai","23.6","","","zh175867",""
"0b","麟洛","Linluo","25.9","","","zh176193",""
"0c","西勢","Xishi","28.3","","","zh175869",""
"0d","竹田","Zhutian","32.0","","","zh175870",""
"0e","潮州","Chaozhou","36.1","","","zh175871",""
"0f","崁頂","Kanding","40.9","","","zh175872",""
"0g","南州","Nanzhou","43.3","","","zh176195",""
"0h","鎮安","Zhen'an","46.9","","","zh175873",""
"0i","林邊","Linbian","50.1","","","zh175875",""
"0j","佳冬","Jiadong","54.1","","","zh175878",""
"0k","東海","Donghai","57.2","","","zh175876",""
"0l","枋寮","Fangliao","61.3","","","zh160865",""
