"id","endonym","exonym","distance","latitude","longitude","wikipedia","image"
"01","枋寮","Fangliao","0","","","zh160865",""
"02","加祿","Jialu","5.3","","","zh160866",""
"03","內獅","Neishi","8.7","","","zh160868",""
"04","枋山","Fangshan","13.6","","","zh160867",""
"05","枋野","Fangye","20.5","","","zh232399",""
"06","大武","Dawu","43.8","","","zh160872",""
"07","瀧溪","Longxi","55.5","","","zh160871",""
"08","金崙","Jinlun","63.9","","","zh160877",""
"09","太麻里","Taimali","74.9","","","zh160879",""
"0a","知本","Zhiben","86.6","","","zh160881",""
"0b","康樂","Kangle","93.6","","","zh160882",""
"0c","臺東","Taitung","98.2","","","zh160883",""
