"id","endonym","exonym","distance","latitude","longitude","wikipedia","image"
"01","新竹","Hsinchu","0","","","zh139229",""
"02","北新竹","North Hsinchu","1.4","","","zh712879",""
"03","千甲","Qianjia","3.6","","","zh676440",""
"04","新莊","Xinzhuang","6.6","","","zh712867",""
"05","竹中","Zhuzhong","7.9","","","zh159816",""
"06","上員","Shangyuan","10.5","","","zh159817",""
"07","榮華","Ronghua","15","","","zh159818",""
"08","竹東","Zhudong","16.6","","","zh159819",""
"09","橫山","Hengshan","20","","","zh159821",""
"0a","九讚頭","Jiuzantou","22.2","","","zh159824",""
"0b","合興","Hexing","24.4","","","zh159825",""
"0c","富貴","Fugui","25.7","","","zh159826",""
"0d","內灣","Neiwan","27.9","","","zh159827",""
