"id","endonym","exonym","distance","latitude","longitude","wikipedia","image"
"01","迴龍","Huilong",,,,,
"02","丹鳳","Danfeng",,,,,
"03","輔大","Fu Jen University",,,,,
"04","新莊","Xinzhuang",,,,,
"05","頭前庄","Touqianzhuang",,,,,
"06","先嗇宮","Xianse Temple",,,,,
"07","三重","Sanchong",,,,,
"08","菜寮","Cailiao",,,,,
"09","台北橋","Taipei Bridge",,,,,
"0a","大橋頭","Daqiaotou",,,,,
"0b","民權西路","Minquan West Road",,,,,
"0c","中山國小","Zhongshan Elementary School",,,,,
"0d","行天宮","Xingtian Temple",,,,,
"0e","松江南京","Songjiang Nanjing",,,,,
"0f","忠孝新生","Zhongxiao Xinsheng",,,,,
"0g","東門","Dongmen",,,,,
"0h","古亭","Guting",,,,,
