"id","endonym","exonym","distance","longitude","latitude","wikipedia","image"
"01","南港展覽館","Taipei Nangang Exhibition Center",,,,,
"02","南港","Nangang",,,,,
"03","昆陽","Kunyang",,,,,
"04","後山埤","Houshanpi",,,,,
"05","永春","Yongchun",,,,,
"06","市政府","Taipei City Hall",,,,,
"07","國父紀念館","Sun Yat-Sen Memorial Hall",,,,,
"08","忠孝敦化","Zhongxiao Dunhua",,,,,
"09","忠孝復興","Zhongxiao Fuxing",,,,,
"0a","忠孝新生","Zhongxiao Xinsheng",,,,,
"0b","善導寺","Shandao Temple",,,,,
"0c","台北車站","Taipei Main Station",,,,,
"0d","西門","Ximen",,,,,
