"id","endonym","exonym","distance","longitude","latitude","wikipedia","image"
"01","文山線","Wenshan Line",,,,,
"02","內湖線","Neihu Line",,,,,
"03","淡水線","Tamsui Line",,,,,
"04","信義線","Xinyi Line",,,,,
"05","新北投支線","Xinbeitou Branch Line",,,,,
"06","新店線","Xindian Line",,,,,
"07","小南門線","Xiaonanmen Line",,,,,
"08","松山線","Songshan Line",,,,,
"09","小碧潭支線","Xiaobitan Branch Line",,,,,
"0a","中和線","Zhonghe Line",,,,,
"0b","新莊線","Xinzhuang Line",,,,,
"0c","蘆洲線","Luzhou Line",,,,,
"0d","南港線","Nangang Line",,,,,
"0e","板橋線","Banqiao Line",,,,,
"0f","土城線","Tucheng Line",,,,,
"0g","環狀線","Circular line",,,,,
