"id","endonym","exonym","distance","latitude","longitude","wikipedia","image"
"01","Hà Nội","Ha Noi",,,,,
"02","Long Biên","Long Bien",,,,,
"03","Gia Lâm","Gia Lam",,,,,
"04","Yên Viên","Yen Vien",,,,,
"05","Từ Sơn","Tu Son",,,,,
"06","Lim","Lim",,,,,
"07","Bắc Ninh","Bac Ninh",,,,,
"08","Thị Cầu","Thi Cau",,,,,
"09","Sen Hồ","Sen Ho",,,,,
"0a","Bắc Giang","Bac Giang",,,,,
"0b","Phố Tráng","Pho Trang",,,,,
"0c","Kép","Kep",,,,,
"0d","Voi Xô","Voi Xo",,,,,
"0e","Phố Vị","Pho Vi",,,,,
"0f","Bắc Lệ","Bac Le",,,,,
"0g","Sông Hòa","Song Hoa",,,,,
"0h","Chi Lăng","Chi Lang",,,,,
"0i","Đồng Mỏ","Dong Mo",,,,,
"0j","Bắc Thủy","Bac Thuy",,,,,
"0k","Bản Thí","Ban Thi",,,,,
"0l","Yên Trạch","Yen Trach",,,,,
"0m","Lạng Sơn","Lang Son",,,,,
"0n","Đồng Đăng","Dong Dang",,,,,
"0o","Biên giới (Trung Quốc)","Border(China)",,,,,
