"id","endonym","exonym","distance","latitude","longitude","wikipedia","image"
"01","Kép","Kep","0","","","vi308430",""
"02","Bảo Sơn","Bao Son","8","","","vi14445998",""
"03","Lan Mẫu","Lan Mau","17","","","vi13505250",""
"04","Cẩm Lý","Cam Ly","27","","","vi14447085",""
"05","Chí Linh","Chi Linh","38","","","vi14445960",""
"06","Ðông Triều","Dong Trieu","49","","","vi14445847",""
"07","Mạo Khê","Mao Khe","58","","","vi13505249",""
"08","Yên Dưỡng","Yen Duong","68","","","vi14445895",""
"09","Uông Bí","Uong Bi","74","","","vi13505248",""
"0a","Bàn Cờ","Ban Co","77","","","vi14445784",""
"0b","Yên Cư","Yen Cu","94","","","vi13505246",""
"0c","Hạ Long","Ha Long","106","","","vi13504384",""
"0d","Cái Lân","Cai Lan","126","","","vi14445713",""
