"id","endonym","exonym","distance","latitude","longitude","wikipedia","image"
"01","Đường sắt Bắc Nam (Hà Nội - Sài Gòn)","North-South Railway (Hanoi - Sai Gon) ",,,,,
"02","Đường sắt Bắc Nam (Diêu Trì - Quy Nhơn)","North-South Railway (Dieu Tri - Quy Nhon)",,,,,
"03","Đường sắt Bắc Nam (Bình Thuận - Phan Thiết)","North-South Railway (Binh Thuan - Phan Thiet)",,,,,
"04","Đường sắt Hà Nội - Hải Phòng","Hanoi - Hai Phong Railway",,,,,
"05","Đường sắt Hà Nội - Lào Cai","Hanoi - Lao Cai railway",,,,,
"06","Đường sắt Bắc Hồng - Văn Điển","Bac Hong - Van Dien Railway",,,,,
"07","Đường sắt Hà Nội - Đồng Đăng","Hanoi - Dong Dang Railway",,,,,
"08","Đường sắt Hà Nội - Quan Triều","Hanoi - Quan Trieu Railway",,,,,
"09","Đường sắt Kép - Lưu Xá","Kep - Luu Xa Railway",,,,,
"0a","Đường sắt Kép - Cái Lân","Kep - Cai Lan Railway",,,,,
